author,comment,commentsCount,pageUrl,replyCount,title,type,videoID,voteCount,source_file,source_text_col,comment_text,comment_text_norm,mode,word_count,has_gender_hint,has_stance_hint,has_experience_hint,has_learning_hint,has_change_hint,has_reinforcement_hint,has_action_hint,has_info_hint,has_identity_hint,keep,keep_reason
@gloriakapfu,And he was a teacher,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,And he was a teacher,and he was a teacher,v2,5,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
@carrenwangari2470,I feel like this is what exactly was happening to my brother according to behavior resembles,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,1,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,I feel like this is what exactly was happening to my brother according to behavior resembles,i feel like this is what exactly was happening to my brother according to behavior resembles,v2,16,False,False,True,False,False,True,False,True,False,True,substantive_v2_len
@moureenosiro5453,Most ugenya men are possesed with demon of anger,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,1,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,Most ugenya men are possesed with demon of anger,most ugenya men are possesed with demon of anger,v2,9,True,False,True,False,False,False,False,False,False,True,substantive_v2_len
@hannahsinnerhealingforum6395,May the lord continue to heal you,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,reply,,1,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,May the lord continue to heal you,may the lord continue to heal you,v2,7,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
@SharedMomentswithJustus,Check in the description all his details are there,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,reply,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,Check in the description all his details are there,check in the description all his details are there,v2,9,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
@okakafelix3644,The opening is like reading Chimamandas Purple Hibiscus,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,2,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,The opening is like reading Chimamandas Purple Hibiscus,the opening is like reading chimamandas purple hibiscus,v2,8,True,False,True,False,False,False,False,False,False,True,substantive_v2_len
@pichunakichuna2111,My mum was a psychopath,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,reply,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,My mum was a psychopath,my mum was a psychopath,v2,5,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
@marykariuki7381,Children must be planned for,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,reply,,2,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,Children must be planned for,children must be planned for,v2,5,False,False,True,False,False,False,True,False,False,True,substantive_v2_signal
@kuchojoe500,I love his final words,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,I love his final words,i love his final words,v2,5,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
@nyabokeomwoyo7463,Childhood trauma is real and this trauma that may have seemed to happen long time will affect how you in your marriage,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,1,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,Childhood trauma is real and this trauma that may have seemed to happen long time will affect how you in your marriage,childhood trauma is real and this trauma that may have seemed to happen long time will affect how you in your marriage,v2,22,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
@CosmicRoots727,Highly intelligent and spiritually awoke man,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,5,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,Highly intelligent and spiritually awoke man,highly intelligent and spiritually awoke man,v2,6,True,False,True,False,False,False,False,False,False,True,substantive_v2_signal
@dorothygarbafoster1687,Awesome inspirational speech thank you so much for the offer,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,Awesome inspirational speech thank you so much for the offer,awesome inspirational speech thank you so much for the offer,v2,10,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
@bellaolum9768,They also had their own trauma from their upbringing,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,reply,,1,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,They also had their own trauma from their upbringing,they also had their own trauma from their upbringing,v2,9,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
@kimaninjoroge1277,We can not use the same standards for our parents that we use to guage ourselves,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,reply,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,We can not use the same standards for our parents that we use to guage ourselves,we can not use the same standards for our parents that we use to guage ourselves,v2,16,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
@ArvisLiepsch,Hi am from Namibia I went through the same thing nice documentary just a bit emotional I excetlly know how that guy feel coz I went through the same  nice one,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,1,My voice was beaten out of me by my father  - Toxic masculinity,comment,,10,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,Hi am from Namibia I went through the same thing nice documentary just a bit emotional I excetlly know how that guy feel coz I went through the same  nice one,hi am from namibia i went through the same thing nice documentary just a bit emotional i excetlly know how that guy feel coz i went through the same nice one,v2,31,True,False,True,False,False,False,False,False,False,True,substantive_v2_len
