id,images,text,likes,replies,retweets,quotes,timestamp,url,source_file,source_text_col,comment_text,comment_text_norm,mode,word_count,has_gender_hint,has_stance_hint,has_experience_hint,has_learning_hint,has_change_hint,has_reinforcement_hint,has_action_hint,has_info_hint,has_identity_hint,keep,keep_reason
2027353041213497497,,A woman is like a tea bag  you never know how strong she is until she gets in hot water,3,1,1,0,2026-02-27T12:00:00.000Z,https://x.com/AntonyVault/status/2027353041213497497,Tweet; I wonder how some men are satisfied with just one woman... .xlsx,text,A woman is like a tea bag  you never know how strong she is until she gets in hot water,a woman is like a tea bag you never know how strong she is until she gets in hot water,v2,20,True,False,True,False,False,False,False,False,False,True,substantive_v2_len
2027371392857985412,,Mzee nature it like animal kingdom,3,0,0,0,2026-02-27T13:13:00.000Z,https://x.com/Mongela_h/status/2027371392857985412,Tweet; I wonder how some men are satisfied with just one woman... .xlsx,text,Mzee nature it like animal kingdom,mzee nature it like animal kingdom,v2,6,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
2027487314620936439,,Women should be compared to cows nevertheless,4,0,0,0,2026-02-27T20:53:00.000Z,https://x.com/collins67310057/status/2027487314620936439,Tweet; I wonder how some men are satisfied with just one woman... .xlsx,text,Women should be compared to cows nevertheless,women should be compared to cows nevertheless,v2,7,True,False,True,False,False,False,True,False,False,True,substantive_v2_signal
2027441198428762391,,You are either a woman or feminine,0,1,0,0,2026-02-27T17:50:00.000Z,https://x.com/Mr_Mobuto/status/2027441198428762391,Tweet; I wonder how some men are satisfied with just one woman... .xlsx,text,You are either a woman or feminine,you are either a woman or feminine,v2,7,True,False,True,False,False,False,False,False,False,True,substantive_v2_signal
2027468356157141481,,Men who follow Kifee are lambistic and puny just like him,1,0,0,0,2026-02-27T19:38:00.000Z,https://x.com/AbundantDianaKE/status/2027468356157141481,Tweet; I wonder how some men are satisfied with just one woman... .xlsx,text,Men who follow Kifee are lambistic and puny just like him,men who follow kifee are lambistic and puny just like him,v2,11,True,False,True,False,False,False,False,False,False,True,substantive_v2_len
2027380873021026789,,This has nothing to do with love,6,0,0,0,2026-02-27T13:50:00.000Z,https://x.com/sertommie/status/2027380873021026789,Tweet; I wonder how some men are satisfied with just one woman... .xlsx,text,This has nothing to do with love,this has nothing to do with love,v2,7,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
2027401740031521221,,You will cry one day,2,0,0,0,2026-02-27T15:13:00.000Z,https://x.com/RAsitaka/status/2027401740031521221,Tweet; I wonder how some men are satisfied with just one woman... .xlsx,text,You will cry one day,you will cry one day,v2,5,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
2027417479262126255,,You are a stupid boy,1,0,0,0,2026-02-27T16:16:00.000Z,https://x.com/wiknelli/status/2027417479262126255,Tweet; I wonder how some men are satisfied with just one woman... .xlsx,text,You are a stupid boy,you are a stupid boy,v2,5,True,False,True,False,False,False,False,False,False,True,substantive_v2_signal
2027354530246001137,,Ukianza kuadvise watu jua akili iko below sea level,1,0,0,0,2026-02-27T12:06:00.000Z,https://x.com/itskifee0/status/2027354530246001137,Tweet; I wonder how some men are satisfied with just one woman... .xlsx,text,Ukianza kuadvise watu jua akili iko below sea level,ukianza kuadvise watu jua akili iko below sea level,v2,9,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
2027358669709484410,,Tukue na at least wangapi mkuu,0,0,0,0,2026-02-27T12:22:00.000Z,https://x.com/ceokulgroup/status/2027358669709484410,Tweet; I wonder how some men are satisfied with just one woman... .xlsx,text,Tukue na at least wangapi mkuu,tukue na at least wangapi mkuu,v2,6,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
2027354709716341049,,Sisi tuna address serious issues kwa economy wewe bado uko kwa kinywero,0,0,0,0,2026-02-27T12:06:00.000Z,https://x.com/PeterKa88333787/status/2027354709716341049,Tweet; I wonder how some men are satisfied with just one woman... .xlsx,text,Sisi tuna address serious issues kwa economy wewe bado uko kwa kinywero,sisi tuna address serious issues kwa economy wewe bado uko kwa kinywero,v2,12,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
2027600818040356876,,I keep asking the same question,0,0,0,0,2026-02-28T04:24:00.000Z,https://x.com/sitatiderick/status/2027600818040356876,Tweet; I wonder how some men are satisfied with just one woman... .xlsx,text,I keep asking the same question,i keep asking the same question,v2,6,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
2027868553601327322,,Nimeambia ivi msee mwenye analea mtoto si wake amenitusi vibaya,0,0,0,0,2026-02-28T22:08:00.000Z,https://x.com/briannyambaso/status/2027868553601327322,Tweet; I wonder how some men are satisfied with just one woman... .xlsx,text,Nimeambia ivi msee mwenye analea mtoto si wake amenitusi vibaya,nimeambia ivi msee mwenye analea mtoto si wake amenitusi vibaya,v2,10,True,False,True,False,False,False,False,False,False,True,substantive_v2_len
2027452996867502421,,Brokeness and kukosa nguvu za kiume,0,0,0,0,2026-02-27T18:37:00.000Z,https://x.com/remb_rech/status/2027452996867502421,Tweet; I wonder how some men are satisfied with just one woman... .xlsx,text,Brokeness and kukosa nguvu za kiume,brokeness and kukosa nguvu za kiume,v2,6,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
2027724333389648079,,Not everyone is immoral like you,0,0,0,0,2026-02-28T12:35:00.000Z,https://x.com/Walciv50/status/2027724333389648079,Tweet; I wonder how some men are satisfied with just one woman... .xlsx,text,Not everyone is immoral like you,not everyone is immoral like you,v2,6,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
2027444639582605438,,You can drive it untill it wears out,0,0,0,0,2026-02-27T18:04:00.000Z,https://x.com/Zizohmapessah/status/2027444639582605438,Tweet; I wonder how some men are satisfied with just one woman... .xlsx,text,You can drive it untill it wears out,you can drive it untill it wears out,v2,8,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
2027400985753071698,,apo kibe tumekuachia mix n synchronize them,0,0,0,0,2026-02-27T15:10:00.000Z,https://x.com/Keyz244693Keyz/status/2027400985753071698,Tweet; I wonder how some men are satisfied with just one woman... .xlsx,text,apo kibe tumekuachia mix n synchronize them,apo kibe tumekuachia mix n synchronize them,v2,7,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
2027364807792328785,,Tunafaa kukuwa na wangapi utmost,3,0,0,0,2026-02-27T12:46:00.000Z,https://x.com/jeffkipro254/status/2027364807792328785,Tweet; I wonder how some men are satisfied with just one woman... .xlsx,text,Tunafaa kukuwa na wangapi utmost,tunafaa kukuwa na wangapi utmost,v2,5,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
2027356186194989381,,makosaa unafanya is putting women and cars on the same sentence,3,0,0,0,2026-02-27T12:12:00.000Z,https://x.com/de_mkuu/status/2027356186194989381,Tweet; I wonder how some men are satisfied with just one woman... .xlsx,text,makosaa unafanya is putting women and cars on the same sentence,makosaa unafanya is putting women and cars on the same sentence,v2,11,True,False,True,False,False,False,False,False,False,True,substantive_v2_len
2027371738393088164,,Napenda hao wanaume wanajua what true love is they are talking with dignity,1,0,0,0,2026-02-27T13:14:00.000Z,https://x.com/EOnyango52618/status/2027371738393088164,Tweet; I wonder how some men are satisfied with just one woman... .xlsx,text,Napenda hao wanaume wanajua what true love is they are talking with dignity,napenda hao wanaume wanajua what true love is they are talking with dignity,v2,13,False,True,True,False,False,False,False,False,False,True,substantive_v2_len
2027696699817197588,,Kuna mtu anafuatanga story zote za kifee,0,0,0,0,2026-02-28T10:45:00.000Z,https://x.com/Eliwhite24/status/2027696699817197588,Tweet; I wonder how some men are satisfied with just one woman... .xlsx,text,Kuna mtu anafuatanga story zote za kifee,kuna mtu anafuatanga story zote za kifee,v2,7,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
2027495926240031135,,So NI gari ama NI women,0,0,0,0,2026-02-27T21:27:00.000Z,https://x.com/Rastawenu/status/2027495926240031135,Tweet; I wonder how some men are satisfied with just one woman... .xlsx,text,So NI gari ama NI women,so ni gari ama ni women,v2,6,True,False,True,False,False,False,False,False,False,True,substantive_v2_signal
