id,images,text,likes,replies,retweets,quotes,timestamp,url,comment_text,comment_text_norm,keep,keep_reason
2027402396108763347,,"Some people are just happy with one. The guy who gets his dream car (girl) will cherish it with everything he has. He will polish it and make sure everything is perfect all the time. 
The rich (spoiled) guy that has multiple (whatever) has to divide his attention between them all. Not one is special to him. He doesn’t have the time to focus on one because he has so many. 
When you can’t full devote all your undivided attention something’s will definitely fall through the cracks.",28,1,0,0,2026-02-27T15:16:00.000Z,https://x.com/honor_dennis/status/2027402396108763347,"Some people are just happy with one. The guy who gets his dream car (girl) will cherish it with everything he has. He will polish it and make sure everything is perfect all the time. 
The rich (spoiled) guy that has multiple (whatever) has to divide his attention between them all. Not one is special to him. He doesn’t have the time to focus on one because he has so many. 
When you can’t full devote all your undivided attention something’s will definitely fall through the cracks.",Some people are just happy with one. The guy who gets his dream car (girl) will cherish it with everything he has. He will polish it and make sure everything is perfect all the time. The rich (spoiled) guy that has multiple (whatever) has to divide his attention between them all. Not one is special to him. He doesn't have the time to focus on one because he has so many. When you can't full devote all your undivided attention something's will definitely fall through the cracks.,True,piece_relevant
2027496196529344785,,"I know what you’re saying but cars are not people with their own personality and so on. 

If women didn’t have that it would be lame.

If you can figure out how to be openly with more than one, it’s possible and much more fulfilling than just buying another thing.",3,0,0,0,2026-02-27T21:28:00.000Z,https://x.com/bboyshogi/status/2027496196529344785,"I know what you’re saying but cars are not people with their own personality and so on. 

If women didn’t have that it would be lame.

If you can figure out how to be openly with more than one, it’s possible and much more fulfilling than just buying another thing.","I know what you're saying but cars are not people with their own personality and so on. If women didn't have that it would be lame. If you can figure out how to be openly with more than one, it's possible and much more fulfilling than just buying another thing.",True,piece_relevant
2027371122665091337,,"True love isn’t about variety, it’s about loyalty. A man who truly loves invests in one heart… that’s passion, not brokenness 💯",60,11,1,0,2026-02-27T13:11:00.000Z,https://x.com/i38at/status/2027371122665091337,"True love isn’t about variety, it’s about loyalty. A man who truly loves invests in one heart… that’s passion, not brokenness 💯","True love isn't about variety, it's about loyalty. A man who truly loves invests in one heart… that's passion, not brokenness 💯",True,piece_relevant
2027359338113712591,,"Social Engineering 😂

Once they wake up they will realize they can literally have anything they want.",58,1,0,0,2026-02-27T12:25:00.000Z,https://x.com/albertochola1/status/2027359338113712591,"Social Engineering 😂

Once they wake up they will realize they can literally have anything they want.",Social Engineering 😂 Once they wake up they will realize they can literally have anything they want.,False,weak
2027381746589651308,,"Comparing women to cars is already where the logic falls apart. Love isn’t about collecting options, it’s about choosing one person fully. Some men aren’t “restricted"", they’re intentional. Depth over variety.",37,3,1,0,2026-02-27T13:54:00.000Z,https://x.com/buildyasef_/status/2027381746589651308,"Comparing women to cars is already where the logic falls apart. Love isn’t about collecting options, it’s about choosing one person fully. Some men aren’t “restricted"", they’re intentional. Depth over variety.","Comparing women to cars is already where the logic falls apart. Love isn't about collecting options, it's about choosing one person fully. Some men aren't ""restricted"", they're intentional. Depth over variety.",True,piece_relevant
2027353668950143046,,"A mad can never fathom why people walk in the market clean and well tucked.

🚮",33,1,1,0,2026-02-27T12:02:00.000Z,https://x.com/Mr_Mobuto/status/2027353668950143046,"A mad can never fathom why people walk in the market clean and well tucked.

🚮",A mad can never fathom why people walk in the market clean and well tucked. 🚮,False,weak
2027354517050654860,,"Brokenness? Sickness? Nah. Some men just have options and the capacity to handle them. If you love cars, you don’t park one in the garage for life and act like the showroom doesn’t exist. You appreciate variety, performance, different drives. The problem isn’t wanting more it’s lying about it. If you’re built for one, cool. If you’re built for a fleet, own it.",34,1,0,0,2026-02-27T12:05:00.000Z,https://x.com/Gibsonaila/status/2027354517050654860,"Brokenness? Sickness? Nah. Some men just have options and the capacity to handle them. If you love cars, you don’t park one in the garage for life and act like the showroom doesn’t exist. You appreciate variety, performance, different drives. The problem isn’t wanting more it’s lying about it. If you’re built for one, cool. If you’re built for a fleet, own it.","Brokenness? Sickness? Nah. Some men just have options and the capacity to handle them. If you love cars, you don't park one in the garage for life and act like the showroom doesn't exist. You appreciate variety, performance, different drives. The problem isn't wanting more it's lying about it. If you're built for one, cool. If you're built for a fleet, own it.",True,piece_relevant
2027412351826223326,,You're just casually comparing women with cars. The hate is deep rooted.,26,4,0,0,2026-02-27T15:55:00.000Z,https://x.com/Naje873199n/status/2027412351826223326,You're just casually comparing women with cars. The hate is deep rooted.,You're just casually comparing women with cars. The hate is deep rooted.,True,piece_relevant
2027367090861039671,,"If you really think having several women makes you a man, you already lost. As a man, have something going on in your life other than just focusing on women...",17,0,0,0,2026-02-27T12:55:00.000Z,https://x.com/Bykeem_KE/status/2027367090861039671,"If you really think having several women makes you a man, you already lost. As a man, have something going on in your life other than just focusing on women...","If you really think having several women makes you a man, you already lost. As a man, have something going on in your life other than just focusing on women...",True,piece_relevant
2027359395856732268,,"In order for men to be able to reach that kind of level where he has access to many women, he has to be on the 1% and which majority are not there yet.
Status is which makes men attract all kinds of women.
Men need to have status first in order for them to get to the next level.",10,0,2,0,2026-02-27T12:25:00.000Z,https://x.com/Kingbariu/status/2027359395856732268,"In order for men to be able to reach that kind of level where he has access to many women, he has to be on the 1% and which majority are not there yet.
Status is which makes men attract all kinds of women.
Men need to have status first in order for them to get to the next level.","In order for men to be able to reach that kind of level where he has access to many women, he has to be on the 1% and which majority are not there yet. Status is which makes men attract all kinds of women. Men need to have status first in order for them to get to the next level.",True,piece_relevant
