url,twitterUrl,id,text,retweetCount,replyCount,likeCount,quoteCount,createdAt,bookmarkCount,isRetweet,isQuote,comment_text,comment_text_norm,keep,keep_reason
https://x.com/ionexiss/status/1830597544688099534,https://twitter.com/ionexiss/status/1830597544688099534,1830597544688099534,"While women fantasize about relationships, men fantasize about greatness. While women fantasize about cuddling, men fantasize about conquering. As men, we want to do something.
We crave significance, influence, and impact

A man's desire for greatness is so strong that he will attempt to experience it through someone else eg A man who shows up with a jersey with the number of a player always considered to be great.

Your greatness should make the lives within your sphere of influence better, not worse. Your greatness ought to inspire other men because they see your impact for good in the lives of others.",35,6,282,0,Mon Sep 02 13:24:00 +0000 2024,45,False,False,"While women fantasize about relationships, men fantasize about greatness. While women fantasize about cuddling, men fantasize about conquering. As men, we want to do something.
We crave significance, influence, and impact

A man's desire for greatness is so strong that he will attempt to experience it through someone else eg A man who shows up with a jersey with the number of a player always considered to be great.

Your greatness should make the lives within your sphere of influence better, not worse. Your greatness ought to inspire other men because they see your impact for good in the lives of others.","While women fantasize about relationships, men fantasize about greatness. While women fantasize about cuddling, men fantasize about conquering. As men, we want to do something. We crave significance, influence, and impact A man's desire for greatness is so strong that he will attempt to experience it through someone else eg A man who shows up with a jersey with the number of a player always considered to be great. Your greatness should make the lives within your sphere of influence better, not worse. Your greatness ought to inspire other men because they see your impact for good in the lives of others.",True,piece_relevant
https://x.com/Small_wigs/status/1830596982278328481,https://twitter.com/Small_wigs/status/1830596982278328481,1830596982278328481,"@amerix The only love that is unconditional is the love for yourself. The rest, you have to do something to be loved.",12,11,230,0,Mon Sep 02 13:21:46 +0000 2024,11,False,False,"@amerix The only love that is unconditional is the love for yourself. The rest, you have to do something to be loved.","@amerix The only love that is unconditional is the love for yourself. The rest, you have to do something to be loved.",True,piece_relevant
https://x.com/MathuAlfred/status/1830596282173604048,https://twitter.com/MathuAlfred/status/1830596282173604048,1830596282173604048,"@amerix Love is definitely a two-way street. True love thrives on mutual respect, trust, and understanding. 

While it's important for a woman to respect and support her partner, love can't flourish unless it’s reciprocated.",10,24,149,0,Mon Sep 02 13:18:59 +0000 2024,1,False,False,"@amerix Love is definitely a two-way street. True love thrives on mutual respect, trust, and understanding. 

While it's important for a woman to respect and support her partner, love can't flourish unless it’s reciprocated.","@amerix Love is definitely a two-way street. True love thrives on mutual respect, trust, and understanding. While it's important for a woman to respect and support her partner, love can't flourish unless it's reciprocated.",True,piece_relevant
https://x.com/thekingmaker211/status/1830599154730414451,https://twitter.com/thekingmaker211/status/1830599154730414451,1830599154730414451,"@amerix A woman must obey, submit, and respect her man to be loved.

This view aligns with traditional patriarchal structures but is contested by modern feminist .",9,2,63,0,Mon Sep 02 13:30:24 +0000 2024,5,False,False,"@amerix A woman must obey, submit, and respect her man to be loved.

This view aligns with traditional patriarchal structures but is contested by modern feminist .","@amerix A woman must obey, submit, and respect her man to be loved. This view aligns with traditional patriarchal structures but is contested by modern feminist .",True,piece_relevant
https://x.com/Iam_belvin/status/1830598273427456333,https://twitter.com/Iam_belvin/status/1830598273427456333,1830598273427456333,"@amerix Massive wisdom this one. So, literally modern-day love fraudsters have reversed the order, making it so hard to find love.",0,1,28,0,Mon Sep 02 13:26:53 +0000 2024,0,False,False,"@amerix Massive wisdom this one. So, literally modern-day love fraudsters have reversed the order, making it so hard to find love.","@amerix Massive wisdom this one. So, literally modern-day love fraudsters have reversed the order, making it so hard to find love.",True,piece_relevant
https://x.com/Luchi_Robin/status/1830617791671742723,https://twitter.com/Luchi_Robin/status/1830617791671742723,1830617791671742723,"@amerix Love is a fallacy. It's women who purport to love men but in reality it's because of what men can provide.
#Changeorperish",1,1,22,0,Mon Sep 02 14:44:27 +0000 2024,1,False,False,"@amerix Love is a fallacy. It's women who purport to love men but in reality it's because of what men can provide.
#Changeorperish",@amerix Love is a fallacy. It's women who purport to love men but in reality it's because of what men can provide. #Changeorperish,True,piece_relevant
https://x.com/Mfalme_Sauli/status/1830596269808501043,https://twitter.com/Mfalme_Sauli/status/1830596269808501043,1830596269808501043,"@amerix In summery Kings, If a woman disrespects you, she deserves to be abandoned to suffer the pain of her ignorance. 

Very crucial. #BetterTogether",1,0,17,0,Mon Sep 02 13:18:56 +0000 2024,0,False,False,"@amerix In summery Kings, If a woman disrespects you, she deserves to be abandoned to suffer the pain of her ignorance. 

Very crucial. #BetterTogether","@amerix In summery Kings, If a woman disrespects you, she deserves to be abandoned to suffer the pain of her ignorance. Very crucial. #BetterTogether",True,piece_relevant
https://x.com/curtiske6/status/1830595613391569356,https://twitter.com/curtiske6/status/1830595613391569356,1830595613391569356,@amerix A what happens to women who find someone younger than them?,0,6,17,0,Mon Sep 02 13:16:19 +0000 2024,0,False,False,@amerix A what happens to women who find someone younger than them?,@amerix A what happens to women who find someone younger than them?,True,piece_relevant
https://x.com/KusienyaKelvin/status/1830599902902247853,https://twitter.com/KusienyaKelvin/status/1830599902902247853,1830599902902247853,@amerix Love is a two way street,2,0,12,0,Mon Sep 02 13:33:22 +0000 2024,0,False,False,@amerix Love is a two way street,@amerix Love is a two way street,True,piece_relevant
https://x.com/DaveKengabi/status/1830597603727143112,https://twitter.com/DaveKengabi/status/1830597603727143112,1830597603727143112,"@amerix ""So, if the woman becomes rude, belligerent, and bellicose, she doesn't deserve to be loved."" 

Key points only",0,0,12,0,Mon Sep 02 13:24:14 +0000 2024,0,False,False,"@amerix ""So, if the woman becomes rude, belligerent, and bellicose, she doesn't deserve to be loved."" 

Key points only","@amerix ""So, if the woman becomes rude, belligerent, and bellicose, she doesn't deserve to be loved."" Key points only",True,piece_relevant
